selling.price,appraised.value
689.9,668.601
2025,1827.919
1090,947.836
450,441.62
1475,1313.901
525,503.929
588.5,588.492
491.9,493.135
690,647.549
526,500.234
799,765.049
600,553.604
645,614.222
663,546.491
605,556.247
618,613.71
740,696.444
758,717.693
437,420.005
725,711.24
503.9,508.126
815,763.45
818.9,770.675
546,555.017
719.3,750.03
680,660.946
560,554.235
458,456.529
442,432.567
805,735.753
775,736.176
526,520.098
530,535.608
554.9,539.029
540,531.782
442.5,453.299
590,547.561
640,608.979
2075,1687.767
650,570.351
720,731.615
705,704.982
402,419.023
548.5,550.297
773,705.743
507.5,518.464
575,565.349
545,561.366
490,495.506
549.5,581.718
595,584.515
492,469.439
555,517.002
630,638.901
820,632.121
585,684.748
505.4,484.297
655,629.005
442.5,454.377
694,653.342
429,424.516
550,477.659
424.5,431.558
550,586.156
605,610.501
585,637.368
465,501.227
608,624.014
439,389.852
522,540.249
735,699.764
779,747.474
489.9,522.97
525,542.702
716,657.449
509.3,522.275
570,597.32
780,761.359
