Team,League,Games,AtBats,RunsScored,Hits,2BHits,3BHits,HR,RBI,BB,SO,SB,CS,BatAve,OnBasePct,SlugPct,ERA,WHIP,W,L,RunsAllowed,Payroll,AveAttend,PctCapacity
Boston Red Sox,AL,162,5623,876,1509,355,31,208,829,569,1253,125,31,0.268,0.339,0.453,3.75,1.25,108,54,647,227398860,35747,95.3
Cleveland Indians,AL,162,5595,818,1447,297,19,216,786,554,1189,135,36,0.259,0.332,0.434,3.77,1.2,91,71,648,142804703,24083,55.4
Tampa Bay Rays,AL,162,5475,716,1415,274,43,150,664,540,1388,128,51,0.258,0.333,0.406,3.74,1.2,90,72,646,68810167,14258,41.8
Chicago Cubs,NL,163,5624,761,1453,286,34,167,722,576,1388,66,38,0.258,0.333,0.41,3.65,1.31,95,68,645,194259933,38793,94.3
Atlanta Braves,NL,162,5582,759,1433,314,29,175,717,511,1290,90,36,0.257,0.324,0.417,3.75,1.28,90,72,657,130649395,31552,76.8
Colorado Rockies,NL,163,5541,780,1418,280,42,210,748,507,1397,95,33,0.256,0.322,0.435,4.33,1.31,91,72,745,143968544,37233,73.7
Houston Astros,AL,162,5453,797,1390,278,18,205,763,565,1197,71,26,0.255,0.329,0.425,3.11,1.1,103,59,534,163524216,36796,89.8
Seattle Mariners,AL,162,5513,677,1402,256,32,176,644,430,1221,79,37,0.254,0.314,0.408,4.13,1.24,89,73,711,160993827,28388,59.3
Washington Nationals,NL,162,5517,771,1402,284,25,191,737,631,1289,119,33,0.254,0.335,0.419,4.04,1.25,82,80,682,181382609,31620,76.2
Cincinnati Reds,NL,162,5532,696,1404,251,25,172,665,559,1376,77,33,0.254,0.328,0.401,4.63,1.4,67,95,819,100305768,20115,47.5
Pittsburgh Pirates,NL,161,5447,692,1381,290,38,157,665,474,1229,70,38,0.254,0.317,0.407,4,1.31,82,79,693,91025861,18786,49
Milwaukee Brewers,NL,163,5542,754,1398,252,24,218,711,537,1458,124,32,0.252,0.323,0.424,3.73,1.24,96,67,659,108982016,35195,84
Oakland Athletics,AL,162,5579,813,1407,322,20,227,778,550,1381,35,21,0.252,0.325,0.439,3.81,1.21,97,65,674,80315288,19427,55.4
Los Angeles Dodgers,NL,163,5572,804,1394,296,33,235,756,647,1436,75,24,0.25,0.333,0.442,3.38,1.15,92,71,610,199582045,47042,77.3
Minnesota Twins,AL,162,5526,738,1379,317,22,166,704,534,1328,47,27,0.25,0.318,0.405,4.5,1.38,78,84,775,115509520,24489,63.6
New York Yankees,AL,162,5515,851,1374,269,23,267,821,625,1421,63,21,0.249,0.329,0.451,3.78,1.24,100,62,669,179598151,42998,86.6
St. Louis Cardinals,NL,162,5498,759,1369,248,9,205,725,525,1380,63,32,0.249,0.321,0.409,3.85,1.34,88,74,691,163784311,38965,95.6
Kansas City Royals,AL,162,5505,638,1350,283,29,155,606,427,1310,117,38,0.245,0.305,0.392,4.94,1.46,58,104,833,129944821,20556,54.2
Toronto Blue Jays,AL,162,5477,709,1336,320,16,217,680,499,1387,47,30,0.244,0.312,0.427,4.85,1.41,67,95,832,150946147,29066,59
Los Angeles Angels,AL,162,5472,721,1323,249,23,214,690,514,1300,89,22,0.242,0.313,0.413,4.15,1.32,80,82,722,173784989,37286,82.1
Detroit Tigers,AL,162,5494,630,1326,284,35,135,597,428,1341,70,30,0.241,0.3,0.38,4.58,1.34,64,98,796,130959889,23212,56.3
Chicago White Sox,AL,162,5523,656,1332,259,40,182,639,425,1594,98,41,0.241,0.302,0.401,4.83,1.43,62,100,848,71839908,20110,50.1
Texas Rangers,AL,162,5453,737,1308,266,24,194,696,555,1484,74,35,0.24,0.318,0.404,4.92,1.4,67,95,848,140625018,26013,52.9
Baltimore Orioles,AL,162,5507,622,1317,242,15,188,593,422,1412,81,22,0.239,0.298,0.391,5.18,1.5,47,115,892,127633703,20053,44.1
San Francisco Giants,NL,162,5541,603,1324,255,30,133,573,448,1467,77,34,0.239,0.3,0.368,3.95,1.31,73,89,699,205665348,38965,93
Miami Marlins,NL,161,5488,589,1303,222,24,128,554,455,1384,45,31,0.237,0.303,0.357,4.76,1.38,63,98,809,91817860,10013,26.7
Arizona Diamondbacks,NL,162,5460,693,1283,259,50,176,658,560,1460,79,25,0.235,0.31,0.397,3.72,1.25,82,80,644,143324597,27687,56.9
San Diego Padres,NL,162,5486,617,1289,250,30,162,583,471,1523,95,36,0.235,0.297,0.38,4.4,1.34,66,96,767,101343635,26837,64.5
New York Mets,NL,162,5468,676,1282,265,34,170,649,566,1404,71,39,0.234,0.312,0.389,4.07,1.27,77,85,707,150187987,28164,67.4
Philadelphia Phillies,NL,162,5424,677,1270,241,30,186,653,582,1520,69,26,0.234,0.314,0.393,4.14,1.29,80,82,728,104297471,27318,63.4
